repo_name,repo_description,file,api_title,api_description
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MergersandAcquisitionsAdvisory.yaml,Mergers and Acquisitions Advisory,"This Service Domain handles mergers and acquisition, IPO, MBO and LBO projects with the bank acting in the lead and/or subordinate role"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",LeadandOpportunityManagement.yaml,Lead and Opportunity Management,"This service domain captures, classifies and track sales lead/opportunities with established clients for additional products or services. It handles the processing of the opportunity through to the point of formal offer processing."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PaymentInstruction.yaml,Payment Instruction,This Service Domain processes the pre-checks needed to confirm the necessary arrangements are in place and assemble and rout payment related requests received from third party payment services.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CreditCard.yaml,Credit Card,This service domain orchestrates the scheduled maintenance and transactional activities associated with credit card product fulfillment
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",InternalAudit.yaml,Internal Audit,Maintain and portfolio of internal audit checks. Select and execute a meaningful sample of checks and identify and resolve non-compliance
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",FraudModel.yaml,Fraud Model,"This service domain handles the design and maintenance of a portfolio of fraud models used across all production activity to detect potential fraud on the part of customers, merchants and other involved parties"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",UnitTrustAdministration.yaml,Unit Trust Administration,This Service Domain handles the implementation and fulfillment of unit investment trusts
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CorrespondentBankDirectory.yaml,Correspondent Bank Directory,This service domain maintains correspondent bank reference details. This includes correspondent bank payment parameters in particular bank limits and capturing transaction activity to track reciprocity
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",eTradingWorkbench.yaml,eTrading Workbench,This Service Domain supports consumer securities trading of their investment portfolio through the bank
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ServiceDirectory.yaml,Service Directory,This Service Domain presents a structured set of services that the customer can select from 
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PartyLifecycleManagement.yaml,Party Lifecycle Management,This service domain tracks the state of a party relationship with the bank from the initial checks made during the establishment of a new party connection and subsequently maintained as necessary over the duration of the relationship. The checks and the maintenance requirements will vary by party type and jurisdiction. The checks cover bank specific and legal and regulatory considerations and may be updated based on a standard schedule or by request in specific circumstances.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductExpertSalesSupport.yaml,Product Expert Sales Support,Administer the availability and allocation of product specialists to support sales activity
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",AdvancedVoiceServicesOperations.yaml,Advanced Voice Services Operations,"This service domain operates the telephone channel infrastructure, including the IVR and any other automated devices as appropriate. This includes handling default routing rules and intra-day/session adjustments to deal with peak load or other operational variations"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",InvestmentPortfolioAnalysis.yaml,Investment Portfolio Analysis,"Assess and report on investment portfolio make-up, valuation and performance"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ContractorandSupplierAgreement.yaml,Contractor and Supplier Agreement,This Service Domain maintains appropriate supplier agreements/contracts
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",EnterpriseArchitecture.yaml,Enterprise Architecture,Define and maintain comprehensive business architectural definitions/blueprints to help organize/direct the business
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CaseRootCauseAnalysis.yaml,Case Root Cause Analysis,Root cause analysis business function reviews case reports to identify possible improvements to eliminate/mitigate servicing issues
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SyndicateManagement.yaml,Syndicate Management,This Service Domain manages syndicate membership and compliance
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ITStandardsAndGuidelines.yaml,IT Standards And Guidelines,"Define and apply comprehensive IT architectures, policies and standards as appropriate. Also define the IT usage guidelines and procedures governing systems use across the enterprise"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CardClearing.yaml,Card Clearing,"This service domain orchestrates the capture and consolidation of card financial transactions originating from various sources, such as POS Network, E-Commerce Gateway, ATM Network, or Card Case Management. It also handles the clearing of the transactions from the Acquirers to the Issuers through the Card Networks"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CardAuthorization.yaml,Card Authorization,This service domain is responsible for the real time card authorization decisions for credit/charge cards.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PositionKeeping.yaml,Position Keeping,This service domain maintains a financial transaction log to support production. Reconciled financial transactions are subsequently posted to the accounting systems
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MerchantRelations.yaml,Merchant Relations,This service domain maintains the terms and conditions agreed with merchants for cards related activity
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",OrderAllocation.yaml,Order Allocation,This Service Domain allocates partially fulfilled market trades
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SyndicatedLoan.yaml,Syndicated Loan,Handle the processing of syndicated loans with the bank playing the lead coordination role with other syndicate bank members. Note some initial preparation may have been made through prior customer offer processing.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",RewardPointsAwardsAndRedemption.yaml,Reward Points Awards And Redemption,Handle the allocation and redemption of rewards points for customer transaction activity
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerSurveys.yaml,Customer Surveys,Define and execute and analyze customer surveys
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",Disbursement.yaml,Disbursement,This service domain handles the disbursement of funds to newly established loans/facilities as necessary
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",TradeConfirmationMatching.yaml,Trade Confirmation Matching,This Service Domain supports the bank's interface to a central market matching and confirmation service whether the bank acts as broker dealer or institutional investor
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",TransactionEngine.yaml,Transaction Engine,Orchestrate a schedule of payment transaction and reporting activities for the fulfillment of certain long term instruments or structured facilities
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CurrentAccount.yaml,Current Account,"This service domain orchestrates a consumer checking/demand deposit account. The typical range of services and fees covers payments and deposits, standing orders, sweeps, liens, check and debit card access."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ConsumerAdvisoryServices.yaml,Consumer Advisory Services,"Offer financial advisory services to consumer customers, possibly for a fee"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",FinancialInstrumentReferenceDataManagement.yaml,Financial Instrument Reference Data Management,This Service Domain maintains a directory of financial instrument reference data
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",Collections.yaml,Collections,Handles the liquidation of assets to offset the losses for problem accounts
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductInventoryDistribution.yaml,Product Inventory Distribution,Administer the provisioning and distribution of product inventory across the branch network and/or distribute direct to customers (e.g. mail) where appropriate
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerPortfolio.yaml,Customer Portfolio,Maintain a portfolio of analytical views of the customer base to support customer segment profitability and performance analysis
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductTraining.yaml,Product Training,"Develop and provide product specific training across the workforce. This includes all media and training mechanisms (on-line, self taught, classroom etc.)"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CompetitorAnalysis.yaml,Competitor Analysis,"Solicit, consolidate and analyze competitor specific public domain data to develop competitor insights and comparisons"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustodyAdministration.yaml,Custody Administration,A service to provide safe custody services for marketable securities for bank customers
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",RegulatoryAndLegalAuthority.yaml,Regulatory And Legal Authority,"Maintain effective relations with regulators, accounting and government agencies. Oversee interactions and reporting as necessary"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CardFinancialSettlement.yaml,Card Financial Settlement,This service domain orchestrates the settlement of the transactions between the Issuers and the Acquirers through the Card Networks.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CardeCommerceGateway.yaml,Card eCommerce Gateway,"This service domain orchestrates the processing of e-commerce transactions for authentication, authorization and capture of the financial transactions."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",IssuedDeviceTracking.yaml,Issued Device Tracking,"This service domain handles operational access to issued device tracking services. Services report on the status of devices such as cards, fobs, etc. that have been issued to customers. Service notifications include fraud warnings/alerts and device cancellation."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SalesProduct.yaml,Sales Product,"A representation of a product as sold to a customer, covering the operational fulfillment requirements"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CreditCardPositionKeeping.yaml,Credit Card Position Keeping,"Maintain a log of credit card bookings and authorizations for operational and management information, tracking and reconciliation purposes."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",BankDrafts.yaml,Bank Drafts,This Service Domain support bank guaranteed payment transactions such as bank drafts
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",FinancialGateway.yaml,Financial Gateway,"This service domain operates automated message interfaces to secure networks such as SWIFT, TELEX, ACH and Financial Market/Exchange reporting services"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",Advertising.yaml,Advertising,"Develop the plan for and oversee advertising campaign activity, including budget and resource management"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerEventHistory.yaml,Customer Event History,"This service domain captures, classifies and stores relationship, servicing and product fulfillment related customer events. In addition to servicing and product transaction details, the log can capture life/relationship events that are revealed during customer exchanges"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",TradeandPriceReporting.yaml,Trade and Price Reporting,This Service Domain operates an automated facility that reports executed market trades to the market place as required by the rules of market participation
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",FraudDiagnosis.yaml,Fraud Diagnosis,This service domain handles the evaluation of detected possible fraud to support an appropriate response to contain the exposure
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerBehaviorInsights.yaml,Customer Behavior Insights,This service domain applies behavioral analysis to customer event history to maintain a range of customer ratings/scores (such as 'propensity to buy') and to detect life events or trends
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductPortfolio.yaml,Product Portfolio,Maintain a portfolio of analytical views of the product portfolio to support product profitability and performance analysis
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",LegalEntityDirectory.yaml,Legal Entity Directory,This service domain maintains details of the legal entity structure of the party including dependents and associations for individuals and ownership/subsidiary structures for corporations. Some financial indicators and product coverage/activity details can be included where this defines the nature of the legal entity relationship in particular for corporate entities
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CorporateTrustServices.yaml,Corporate Trust Services,This Service Domain provides corporate trust services centered on the handling of debt instruments and escrow account support
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",RegulatoryCompliance.yaml,Regulatory Compliance,"This service domain provides a service to interpret regulatory requirements, provide guidance and define and implement a portfolio of regulatory compliance tests across all appropriate bank activities"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerCaseManagement.yaml,Customer Case Management,Track and assess case load and resolution activity - allocate resources as necessary to optimize case resolution performance
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",DirectDebitMandate.yaml,Direct Debit Mandate,This service domains manages the customer mandates associated with direct debit processing for a corporate client
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CorporateCurrentAccount.yaml,Corporate Current Account,"This service domain orchestrates a corporate checking/demand deposit account. The typical range of services and fees covers payments and deposits, standing orders, sweeps, liens, check and debit card access."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerWorkbench.yaml,Customer Workbench,This service domain represents customer side devices. Most commonly providing a customer access portal to the banks products and services through any suitable channel and device
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CardNetworkParticipantFacility.yaml,Card Network Participant Facility,"This service domain orchestrates the activities related to the inclusion of new Acquirers and Issuers in the Card Network, their terms and conditions and their status."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SpecialPricingConditions.yaml,Special Pricing Conditions,Maintain a pricing list or conditions (with ranges and optional terms) categorized by various dimensions to impose exceptional product pricing conditions that override standard pricing terms (for special events/situations)
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",InterbankRelationshipManagement.yaml,Interbank Relationship Management,"Manage the bank's relationship with other banks, covering any specific agreements that may be in place and overseeing operational issues."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PaymentExecution.yaml,Payment Execution,"This service domains processes the movement of funds between accounts within the bank or to/from an account held with another bank, selecting the appropriate payment mechanism"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",StandingOrder.yaml,Standing Order,"Customers can issue standing orders to the bank. In most cases this is for the execution of a periodical payment, but there are other standing instructions like, sweeping balances at end of month, topping off excess funds for a current account, etc. "
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SavingsAccount.yaml,Savings Account,"This service domain orchestrates a consumer savings account. The typical range of services and fees covers payments from and scheduled and ad-hoc deposits to the account, standing orders, sweeps, and liens."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerRelationshipManagement.yaml,Customer Relationship Management,"This service domain develops and executes a customer plan to maintain and build a customer relationship. Activities include ongoing customer contact, tracking internal and external events and activity of interest and relevance, product and service matching and sales, processing ad-hoc queries, trouble shooting and issue resolution including the initial phases of troubled account recovery"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",InternalBankAccount.yaml,Internal Bank Account,This Service Domain manages the banking-related accounts that are not owned by customers. These are not general ledger accounts. Typical examples are holding accounts and mirror accounts.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",Correspondence.yaml,Correspondence,This service domain orchestrates the production of pre-formatted correspondence and batches of correspondence (e.g. mail shots).
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductDesign.yaml,Product Design,Develop/refine product designs and supporting specification details
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SessionDialogue.yaml,Session Dialogue,"This service domain handles/structures the customer narrative during an interactive session. It consolidates and presents pertinent customer information and provides servicing guidelines with standard dialogue/scripting as appropriate. It can include the capability to provoke questions to capture key relationship and sales triggers. It also ensures the correct sequencing, dialogue content and actions are performed/initiated during the customer interaction. It may further leverage the session by passing on customer notifications, status updates and triggering sales/marketing efforts."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",LegalCompliance.yaml,Legal Compliance,"Provide specialist legal advice, assess for legal compliance and resolve legal cases as they occur"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MarketOrderExecution.yaml,Market Order Execution,"The Market Order Execution Service Domain is responsible for the booking of securities transactions (e.g. resulting from market orders or some types of corporate actions) on investment accounts, so in terms of security name plus quantity."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerPosition.yaml,Customer Position,"This service domain maintains a consolidated financial position for a customer, combining details from all products and services in use. The position can cover available funds, credit, collateral, tax exposure and other financial measures as necessary"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CreditRiskOperations.yaml,Credit Risk Operations,This Service Domain monitors counterparty credit limits in the trading unit
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProgramTrading.yaml,Program Trading,This Service Domain supports a program trading capability where the trading decisions are made based on predefined/programmed rules and policies. Manual oversight and monitoring capabilities are supported as appropriate
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",TradingBookOversight.yaml,Trading Book Oversight,This Service Domain oversees the bank's trading book (a type of account ledger that records details of frequently traded securities held by the bank) to manage the banks market risk
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",OpenItemManagement.yaml,Open Item Management,This service domain provides a service for handling the resolution of open items against accounts (such as overdue loan payments)
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",Leasing.yaml,Leasing,The leasing products enables customers to finance equipment purchases using the leased item as collateral when necessary
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductionRelease.yaml,Production Release,Maintain and apply production release tests for new and updated systems
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MarketDataSwitchOperation.yaml,Market Data Switch Operation,This service domain operates the internal information distribution facility/switch in compliance with administered external subscription information feed service access rights. Note the content is retrieved by the Market Feed Operation service domain from the various external feed services. Internal information can also be published over the switch from various bank sources (such as bank rates provided by treasury).
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",AdvancedVoiceServicesManagement.yaml,Advanced Voice Services Management,Oversee the configuration and operation of the voice channel facilities
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",Loan.yaml,Loan,This service domain handles the fulfillment of a general loan product. This includes the initial set-up of the loan facility and the completion of scheduled and ad-hoc product processing tasks
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MarketMaking.yaml,Market Making,This Service Domain enables the bank to fulfill its market making function typically in collaboration with a trading exchange. The bank maintains a buy/sell quote for the securities it supports as a market maker and accepts buy/sell orders on request
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",RewardPointsAccount.yaml,Reward Points Account,Administer the booking and remittance of rewards points
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerCase.yaml,Customer Case,"This service domain handles the initiation, tracking, resolution and reporting on customer cases (issues that typically require corrective response to some financial transaction)"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",TrustServices.yaml,Trust Services,This Service Domain support a range of trust management services offered to high value customers
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",DealerDesk.yaml,Dealer Desk,The Dealer Workbench represents the bank's dealing desk facility supporting one or more trading lines of activity for both agency and principal trading in all chosen market instruments. It also supports sales and market risk trading desk functions
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",AccountRecovery.yaml,Account Recovery,This service domain handles the restructuring of a distressed account (loan) after standard recovery procedures have been exhausted
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",BranchLocationManagement.yaml,Branch Location Management,"Manage and oversee branch activity, assign resources to optimize branch performance"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",BranchCurrencyDistribution.yaml,Branch Currency Distribution,Schedule and coordinate the secure distribution of cash inventory across the branch and ATM networks.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MarketAnalysis.yaml,Market Analysis,This service domain analyzes internal and external market information sources as necessary to develop specific market insights. It may maintain a collection of predefined market analyses and may also offer specific ad-hoc analysis on request
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ConsumerInvestments.yaml,Consumer Investments,Handle the consumer front-end trading requests. These will typically be blocked/netted for market execution
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ConsumerLoan.yaml,Consumer Loan,This service domain handles the fulfillment of a consumer loan product. This includes the initial set-up of the loan facility and the completion of scheduled and ad-hoc product processing tasks
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CashManagementAndAccountServices.yaml,Cash Management And Account Services,This service domain orchestrates a cash management and accounting services facility typically used by corporations to support additional cash management features over and above the standard facilities of current and savings accounts
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CorporatePayrollServices.yaml,Corporate Payroll Services,The Corporate Payroll Services Service Domain handles payroll payment processing for the employees of a corporate customer.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProjectFinance.yaml,Project Finance,This Service Domain fulfills project financing by which major (government) projects can attract privet sector financing
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CommissionAgreement.yaml,Commission Agreement,Maintain and administer the terms and transactions for employee and broker commissions
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProspectCampaignManagement.yaml,Prospect Campaign Management,Assess the coverage and impact of external/prospect campaigns and redirect campaign development and execution activity accordingly
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SystemsAdministration.yaml,Systems Administration,"Administer the configuration, maintenance, assignment and track usage and status of all IT assets deployed in development and production across the enterprise"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductMatching.yaml,Product Matching,"Capability used to match eligible product and product combinations to a customer based on prevailing conditions such as customer type, product interest, solicitation/retention, campaign alignment"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CreditFacility.yaml,Credit Facility,The Credit Facility Service Domain manages the Credit Facilities that a Corporate Customer has with the bank. A Credit Facility is an agreement between the bank and a (corporate) customer to allow the customer to acquire asset products from the bank up to the limit of the credit facility without the need for a full due diligence and underwriting for each of these products.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PartyReferenceDataDirectory.yaml,Party Reference Data Directory,"This service domain maintains a range of party reference information covering aspects including general reference details, contacts and associations and demographic information"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProcessingOrder.yaml,Processing Order,"The Processing Order Service Domain handles the processing of a service request that comes in via a secure channel from a known requestor, which is typically an automated process itself and not a customer."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerOffer.yaml,Customer Offer,"This service domain orchestrates the processing of a product offer for a new or established  customer. The offer process is defined specifically for the product or service being considered and can include actions such as document checks, collateral allocation, credit assessments, underwriting decisions, regulatory and procedural checks, eligibility checks, the use of internal and external specialist services (such as evaluations and legal advice)."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ChequeLockBox.yaml,Cheque Lock Box,This Service Domain support paper cheque processing services offered to corporate customers
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CashConcentration.yaml,Cash Concentration,"Cash Concentration is a cash management service aimed at moving a balance, or part of a balance of an account to a different account to meet various requirements."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CollateralAllocationManagement.yaml,Collateral Allocation Management,The Service Domain manages the allocation of party owned assets to bank issued lending and other asset products.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PublicReferenceDataManagement.yaml,Public Reference Data Management,"Provide structured access to standard 'global' reference data and definitions associated with market activity such as currency, country and segment identifiers."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ArchiveServices.yaml,Archive Services,"The Archive Services Service Domain enables the bank to retain, maintain and access significant documents that are no longer actively accessed but that might be required in the future"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ServicingMandate.yaml,Servicing Mandate,This service domain maintains the allowed customer servicing arrangements for a service provider covering general access to the bank's products and services and optionally customer specific arrangements
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ServicingIssue.yaml,Servicing Issue,This Service Domain handles production customer servicing issues detected in the customer servicing environment
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MarketOrder.yaml,Market Order,Market Order records an instruction from a customer or his or her representative to buy or sell securities. It follows the order during its lifetime and reports back to the requestor on the execution.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CardTransactionSwitch.yaml,Card Transaction Switch,"This service domain orchestrates the switching and routing of Card Authorization and Financial transactions received through the Card POS Network, Card E-Commerce Gateway, or the ATM Network from the Acquirer to the Issuer through the Card Networks."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductServiceAgency.yaml,Product Service Agency,This Service Domain establishes and maintains contractual arrangements with product and service agencies
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductDeployment.yaml,Product Deployment,Plan and administer the production deployment new and updated products and services
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",BranchCurrencyManagement.yaml,Branch Currency Management,"Track cash inventory, project demand and ensure all cash is accounted for within the branch"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",TradeSettlement.yaml,Trade Settlement,"This Service Domain handles the final movement of cash and securities between depositories as previously confirmed in the clearing process, in order to settle a market trade"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",FraudEvaluation.yaml,Fraud Evaluation,The service domain executes fraud behavioral pattern tests to detect possible fraudulent transactions/activity
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",DirectDebit.yaml,Direct Debit,Fulfils a direct debit agreement.  Handles the creditor side of direct debits.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ServiceProviderOperations.yaml,Service Provider Operations,This Service Domain handles the range of operational actions used in production interactions with an external service provider.
